horizon_s,tier,delta_occupancy_s,proxy_per_s,proxy_delta_contribution
3,0,30,0.0,0.0
3,1,96,0.0112488221557906,1.0798869269558975
3,2,-9,0.0743289290174747,-0.6689603611572723
3,3,-379,0.1226742058859077,-46.49352403075902
3,4,203,0.2060585271937321,41.82988102032762
3,5,59,0.2967727929298197,17.50959478285936
3,6,0,0.5470383323372472,0.0
3,7,0,1.0,0.0
5,0,49,0.0,0.0
5,1,67,0.0112488221557906,0.7536710844379702
5,2,-11,0.0743289290174747,-0.8176182191922218
5,3,-351,0.1226742058859077,-43.058646265953605
5,4,192,0.2060585271937321,39.563237221196566
5,5,54,0.2967727929298197,16.025730818210263
5,6,0,0.5470383323372472,0.0
5,7,0,1.0,0.0
10,0,97,0.0,0.0
10,1,7,0.0112488221557906,0.0787417550905342
10,2,-12,0.0743289290174747,-0.8919471482096964
10,3,-336,0.1226742058859077,-41.21853317766499
10,4,186,0.2060585271937321,38.32688605803417
10,5,58,0.2967727929298197,17.21282198992954
10,6,0,0.5470383323372472,0.0
10,7,0,1.0,0.0
