strategy,horizon_s,switch_count,mean_dwell_s,median_dwell_s,minimum_dwell_s,large_tier_jump_count
constant,3,91,39.130434782608695,15.0,15,0
constant,5,95,37.5,15.0,15,0
constant,10,93,38.297872340425535,15.0,15,0
instant,1,53,66.66666666666667,19.0,15,0
perfect,3,92,38.70967741935484,15.0,15,0
perfect,5,78,45.56962025316456,18.0,15,0
perfect,10,70,50.70422535211268,19.0,15,0
predicted,3,88,40.449438202247194,15.0,15,0
predicted,5,84,42.35294117647059,16.0,15,0
predicted,10,88,40.449438202247194,15.0,15,0
