strategy,subset,n,h2_kg,proxy_sum,battery_throughput_kwh,mean_fc_kw,mean_battery_kw
Constant,Non-braking,2939,0.684766390717586,542.0592771830766,21.81801452272753,16.454439871346114,13.666531277961477
Constant,Braking,661,0.19052021835959038,159.1184359056217,11.599093025943752,20.228875909605247,-63.172064891675504
Instant,Non-braking,2939,0.604645961454975,392.7030281443423,22.180158642453037,14.79390276727596,15.327068382031634
Instant,Braking,661,0.15422050486900474,103.4362995740718,10.954667033627924,16.719142819836748,-59.662331801907
Perfect,Non-braking,2939,0.6957237895550086,561.2680510032209,22.13235906044252,16.681569636310424,13.439401512997167
Perfect,Braking,661,0.17990024347340142,147.494142809301,11.39888629628661,19.138491300277398,-62.081680282347655
Predicted_optimized,Non-braking,2939,0.7308247600609491,627.0009451601986,21.656072244969888,17.398403601092653,12.722567548214938
Predicted_optimized,Braking,661,0.1974285297822116,172.53166832499892,11.713786946993515,20.853532665700786,-63.796721647771044
Predicted_original,Non-braking,2939,0.6587847464726121,479.23913770984245,20.809686208955384,15.950978064441715,14.169993084865874
Predicted_original,Braking,661,0.17634841240778634,131.13214514365268,11.35952702697039,18.924129167844132,-61.86731814991438
