baseline,metric,optimized_minus_baseline_mean_per_60s,ci95_low,ci95_high,wilcoxon_statistic,pvalue_raw,blocks,pvalue_holm
Instant,h2_g,2.823113725319682,1.4732551281287953,4.232476592331699,442.5,0.0008376308802462517,60,0.014239724964186278
Instant,proxy,5.056554762779726,3.2358188311945484,7.016733661461643,323.5,2.2523969336448024e-05,60,0.0004054314480560644
Instant,battery_throughput_kwh,0.003917225264707389,-0.008907024206344346,0.017069826985021914,834.0,0.7002727876721293,60,1.0
Instant,switches,-0.16666666666666666,-0.45041666666666663,0.13333333333333333,379.5,0.3406191577297951,60,1.0
Instant,fc_variation_kw,0.0016962023856672856,-2.0756554783316554,1.8977296919973325,535.0,0.10943247914151191,60,1.0
Constant,h2_g,0.882778012766403,-0.677441479109561,2.5209453972365097,565.0,0.48400286761192257,60,1.0
Constant,proxy,1.6392483399416562,-0.6378005144234812,3.9682807084855534,538.0,0.3367917566159728,60,1.0
Constant,battery_throughput_kwh,-0.0007874726117979736,-0.014974243849587248,0.013828451007071007,629.0,0.9346046719840639,60,1.0
Constant,switches,0.016666666666666666,-0.03333333333333333,0.06666666666666667,2.0,0.5637028616507731,60,1.0
Constant,fc_variation_kw,0.05422793573248308,-0.5384268761649366,0.6549473529632537,262.5,0.9775912057288189,60,1.0
Perfect,h2_g,0.8771542802458455,-0.5514809701211612,2.2828025239350738,588.0,0.35766805334135454,60,1.0
Perfect,proxy,1.5128403278779279,-0.23292315150000042,3.4322221824821315,561.0,0.24373435815060362,60,1.0
Perfect,battery_throughput_kwh,-0.002689769412762131,-0.014771114384060835,0.008996945354731476,676.0,0.9057587144621504,60,1.0
Perfect,switches,0.05,-0.016666666666666666,0.13333333333333333,3.0,0.17971249487899976,60,1.0
Perfect,fc_variation_kw,0.19337451508913406,-0.5015516783544935,0.9119215270775356,274.5,0.914488694632386,60,1.0
Predicted_original,h2_g,1.552002182712703,0.2325931372614115,2.9563258894003783,637.0,0.09070019119774902,60,1.0
Predicted_original,proxy,3.1526888438617084,1.380529022249084,5.041829936047832,544.0,0.015875751066420286,60,0.2381362659963043
Predicted_original,battery_throughput_kwh,0.020010765933960496,0.009400795031733019,0.032101179978663394,443.0,0.0014044715926985905,60,0.02247154548317745
Predicted_original,switches,-1.85,-2.1,-1.5833333333333333,5.0,1.2612316356766352e-10,60,2.5224632713532703e-09
Predicted_original,fc_variation_kw,-7.471376375509627,-8.970674912567851,-6.047936578108183,46.5,1.304357180140045e-09,60,2.4782786422660857e-08
