health_case,reversed_segment_id,reversed_abs_rank,original_delta_pct,perturbed_mean_delta_pct,wilcoxon_statistic,p_value_one_sided,p_value_holm_with_other_original,reject_holm_0p05
oldest_stack_0,27,6,-0.011803117,-0.006668377,6.0,0.0546875,0.0546875,False
oldest_stack_0,30,2,-0.003962267,-0.008628589,2.0,0.01171875,0.01171875,True
oldest_stack_0,31,5,-0.007287847,-0.007797194,5.0,0.0390625,0.0390625,True
oldest_stack_0,32,8,-0.022696975,-0.003944912,8.0,0.09765625,0.09765625,False
oldest_stack_0,35,7,-0.018138739,-0.005084471,7.0,0.07421875,0.07421875,False
oldest_stack_0,40,3,-0.00432235,-0.008538568,3.0,0.01953125,0.01953125,True
oldest_stack_0,42,4,-0.006176969,-0.008074914,4.0,0.02734375,0.02734375,True
oldest_stack_0,43,1,-0.002564983,-0.00897791,1.0,0.0078125,0.0078125,True
oldest_stack_1,27,6,-0.011957846,-0.006941446,6.0,0.0546875,0.0546875,False
oldest_stack_1,30,2,-0.004285126,-0.008859626,2.0,0.01171875,0.01171875,True
oldest_stack_1,31,5,-0.007338756,-0.008096218,5.0,0.0390625,0.0390625,True
oldest_stack_1,32,8,-0.023603052,-0.004030144,8.0,0.09765625,0.09765625,False
oldest_stack_1,35,7,-0.018857154,-0.005216619,7.0,0.07421875,0.07421875,False
oldest_stack_1,40,3,-0.004599006,-0.008781156,3.0,0.01953125,0.01953125,True
oldest_stack_1,42,4,-0.006113085,-0.008402636,4.0,0.02734375,0.02734375,True
oldest_stack_1,43,1,-0.002693232,-0.009257599,1.0,0.0078125,0.0078125,True
