block_id,policy,fleet_progress_budget,step,elapsed_s,timestamp,vehicle_target_power_kw,mapped_demand_kw,actual_total_power_kw,tracking_error_kw,stack_1_current_a,stack_1_power_kw,stack_1_h_before,stack_1_h_increment,stack_1_h_after,stack_2_current_a,stack_2_power_kw,stack_2_h_before,stack_2_h_increment,stack_2_h_after,stack_3_current_a,stack_3_power_kw,stack_3_h_before,stack_3_h_increment,stack_3_h_after
external_2026-04_s3,frozen_health,0.03,0,0,2026-04-11 07:41:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,1,10,2026-04-11 07:41:12,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,2,20,2026-04-11 07:41:22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,3,30,2026-04-11 07:41:32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,4,40,2026-04-11 07:41:42,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,5,50,2026-04-11 07:41:52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,6,60,2026-04-11 07:42:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,7,70,2026-04-11 07:42:12,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,8,80,2026-04-11 07:42:22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,9,90,2026-04-11 07:42:32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,10,100,2026-04-11 07:42:42,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,11,110,2026-04-11 07:42:52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,12,120,2026-04-11 07:43:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,13,130,2026-04-11 07:43:12,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,14,140,2026-04-11 07:43:22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,15,150,2026-04-11 07:43:32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,16,160,2026-04-11 07:43:42,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,17,170,2026-04-11 07:43:52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,18,180,2026-04-11 07:44:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,19,190,2026-04-11 07:44:12,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,20,200,2026-04-11 07:44:22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,21,210,2026-04-11 07:44:32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,22,220,2026-04-11 07:44:42,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,23,230,2026-04-11 07:44:52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,24,240,2026-04-11 07:45:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,25,250,2026-04-11 07:45:12,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,26,260,2026-04-11 07:45:22,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,27,270,2026-04-11 07:45:32,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,28,280,2026-04-11 07:45:42,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,29,290,2026-04-11 07:45:52,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,30,300,2026-04-11 07:46:02,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.42,0.0,0.42
external_2026-04_s3,frozen_health,0.03,31,310,2026-04-11 07:46:12,20.0,34.98042275023542,35.92978117151498,0.9493584212795625,0.0,0.0,0.3,0.0,0.3,120.0,15.57333067046215,0.36,4.925431242261451e-05,0.36004925431242263,160.0,20.35645050105283,0.42,6.43820512137491e-05,0.4200643820512137
external_2026-04_s3,frozen_health,0.03,32,320,2026-04-11 07:46:22,20.0,34.98042275023542,35.9297575831356,0.9493348329001776,0.0,0.0,0.3,0.0,0.3,120.0,15.573322841083593,0.36004925431242263,4.9254319996484124e-05,0.3600985086324191,160.0,20.356434742052006,0.4200643820512137,6.43820436398795e-05,0.4201287640948536
external_2026-04_s3,frozen_health,0.03,33,330,2026-04-11 07:46:32,20.0,34.98042275023542,35.92973399475687,0.9493112445214535,0.0,0.0,0.3,0.0,0.3,120.0,15.573315011703833,0.3600985086324191,4.925432757035897e-05,0.36014776295998946,160.0,20.356418983053036,0.4201287640948536,6.438203606600466e-05,0.4201931461309196
external_2026-04_s3,frozen_health,0.03,34,340,2026-04-11 07:46:42,20.0,34.98042275023542,35.92971040637508,0.9492876561396599,0.0,0.0,0.3,0.0,0.3,120.0,15.573307182319164,0.36014776295998946,4.9254335144232434e-05,0.3601970172951337,160.0,20.356403224055917,0.4201931461309196,6.43820284921312e-05,0.42025752815941175
external_2026-04_s3,frozen_health,0.03,35,350,2026-04-11 07:46:52,20.0,34.98042275023542,35.929686817993826,0.9492640677584063,0.0,0.0,0.3,0.0,0.3,120.0,15.573299352933175,0.3601970172951337,4.9254342718110936e-05,0.36024627163785183,160.0,20.356387465060653,0.42025752815941175,6.438202091825269e-05,0.42032191018033
external_2026-04_s3,frozen_health,0.03,36,360,2026-04-11 07:47:02,20.0,34.98042275023542,35.92966322960964,0.9492404793742182,0.0,0.0,0.3,0.0,0.3,120.0,15.573291523542395,0.36024627163785183,4.9254350291988246e-05,0.3602955259881438,160.0,20.356371706067243,0.42032191018033,6.438201334437538e-05,0.42038629219367435
external_2026-04_s3,frozen_health,0.03,37,370,2026-04-11 07:47:12,20.0,34.98042275023542,35.929639641225876,0.9492168909904564,0.0,0.0,0.3,0.0,0.3,120.0,15.573283694150183,0.3602955259881438,4.925435786587039e-05,0.36034478034600964,160.0,20.35635594707569,0.42038629219367435,6.438200577049322e-05,0.4204506741994448
external_2026-04_s3,frozen_health,0.03,38,380,2026-04-11 07:47:22,20.0,34.98042275023542,35.92961605283928,0.9491933026038595,0.0,0.0,0.3,0.0,0.3,120.0,15.57327586475329,0.36034478034600964,4.9254365439751566e-05,0.3603940347114494,160.0,20.35634018808599,0.4204506741994448,6.438199819661207e-05,0.42051505619764146
external_2026-04_s3,frozen_health,0.03,39,390,2026-04-11 07:47:32,20.0,34.98042275023542,35.92959246445299,0.9491697142175681,0.0,0.0,0.3,0.0,0.3,120.0,15.573268035354847,0.3603940347114494,4.925437301363736e-05,0.360443289084463,160.0,20.35632442909814,0.42051505619764146,6.438199062272627e-05,0.4205794381882642
external_2026-04_s3,frozen_health,0.03,40,400,2026-04-11 07:47:42,20.0,34.98042275023542,35.92956887606398,0.9491461258285625,0.0,0.0,0.3,0.0,0.3,120.0,15.573260205951843,0.360443289084463,4.9254380587522394e-05,0.3604925434650505,160.0,20.356308670112142,0.4205794381882642,6.438198304884124e-05,0.4206438201713131
external_2026-04_s3,frozen_health,0.03,41,410,2026-04-11 07:47:52,20.0,34.98042275023542,35.92954528767518,0.9491225374397629,0.0,0.0,0.3,0.0,0.3,120.0,15.573252376547174,0.3604925434650505,4.9254388161411826e-05,0.3605417978532119,160.0,20.356292911128005,0.4206438201713131,6.438197547495178e-05,0.420708202146788
external_2026-04_s3,frozen_health,0.03,42,420,2026-04-11 07:48:02,20.0,34.98042275023542,35.92952169928378,0.9490989490483628,0.0,0.0,0.3,0.0,0.3,120.0,15.573244547138062,0.3605417978532119,4.9254395735300716e-05,0.36059105224894716,160.0,20.35627715214572,0.420708202146788,6.43819679010629e-05,0.42077258411468904
external_2026-04_s3,frozen_health,0.03,43,430,2026-04-11 07:48:12,20.0,34.98042275023542,35.92949811089245,0.9490753606570337,0.0,0.0,0.3,0.0,0.3,120.0,15.573236717727166,0.36059105224894716,4.9254403309193814e-05,0.3606403066522564,160.0,20.356261393165287,0.42077258411468904,6.438196032716982e-05,0.4208369660750162
external_2026-04_s3,frozen_health,0.03,44,440,2026-04-11 07:48:22,20.0,34.98042275023542,35.92947452249865,0.9490517722632319,0.0,0.0,0.3,0.0,0.3,120.0,15.573228888311942,0.3606403066522564,4.9254410883086554e-05,0.3606895610631395,160.0,20.35624563418671,0.4208369660750162,6.438195275327706e-05,0.42090134802776946
external_2026-04_s3,frozen_health,0.03,45,450,2026-04-11 07:48:32,20.0,34.98042275023542,35.92945093410481,0.9490281838693875,0.0,0.0,0.3,0.0,0.3,120.0,15.573221058894818,0.3606895610631395,4.925441845698329e-05,0.3607388154815965,160.0,20.356229875209987,0.42090134802776946,6.438194517938034e-05,0.42096572997294884
external_2026-04_s3,frozen_health,0.03,46,460,2026-04-11 07:48:42,20.0,34.98042275023542,35.92942734570859,0.9490045954731698,0.0,0.0,0.3,0.0,0.3,120.0,15.573213229473481,0.3607388154815965,4.92544260308799e-05,0.36078806990762735,160.0,20.356214116235112,0.42096572997294884,6.438193760548374e-05,0.42103011191055434
external_2026-04_s3,frozen_health,0.03,47,470,2026-04-11 07:48:52,20.0,34.98042275023542,35.92940375731222,0.948981007076803,0.0,0.0,0.3,0.0,0.3,120.0,15.57320540005013,0.36078806990762735,4.925443360478028e-05,0.3608373243412321,160.0,20.356198357262095,0.42103011191055434,6.438193003158335e-05,0.42109449384058595
