step,demand_power_kw,stack_power_kw,strategy,stack_0_current_a,stack_1_current_a,stack_2_current_a
0,16.57142857142857,16.18145683614408,average,60.0,60.0,0.0
1,16.57142857142857,16.18145683192656,average,60.0,60.0,0.0
2,16.57142857142857,16.18145682770904,average,60.0,60.0,0.0
3,16.57142857142857,16.181456823491523,average,60.0,60.0,0.0
4,16.57142857142857,16.181456819274004,average,60.0,60.0,0.0
5,16.57142857142857,16.181456815056485,average,60.0,60.0,0.0
6,16.57142857142857,16.181456810838966,average,60.0,60.0,0.0
7,16.57142857142857,16.18145680662144,average,60.0,60.0,0.0
8,16.57142857142857,16.181456802403922,average,60.0,60.0,0.0
9,16.57142857142857,16.1814567981864,average,60.0,60.0,0.0
10,16.57142857142857,16.181456793968877,average,60.0,60.0,0.0
11,16.57142857142857,16.18145678975135,average,60.0,60.0,0.0
12,16.57142857142857,16.181456785533825,average,60.0,60.0,0.0
13,16.57142857142857,16.1814567813163,average,60.0,60.0,0.0
14,16.57142857142857,16.181456777098774,average,60.0,60.0,0.0
15,16.57142857142857,16.181456772881248,average,60.0,60.0,0.0
16,16.57142857142857,16.181456768663722,average,60.0,60.0,0.0
17,16.57142857142857,16.181456764446196,average,60.0,60.0,0.0
18,16.57142857142857,16.181456760228663,average,60.0,60.0,0.0
19,16.57142857142857,16.181456756011137,average,60.0,60.0,0.0
20,16.57142857142857,16.181456751793604,average,60.0,60.0,0.0
21,16.57142857142857,16.18145674757607,average,60.0,60.0,0.0
22,16.57142857142857,16.181456743358545,average,60.0,60.0,0.0
23,16.57142857142857,16.181456739141012,average,60.0,60.0,0.0
24,16.57142857142857,16.18145673492348,average,60.0,60.0,0.0
25,16.57142857142857,16.181456730705946,average,60.0,60.0,0.0
26,16.57142857142857,16.181456726488413,average,60.0,60.0,0.0
27,16.57142857142857,16.181456722270877,average,60.0,60.0,0.0
28,16.57142857142857,16.181456718053344,average,60.0,60.0,0.0
29,16.57142857142857,16.181456713835807,average,60.0,60.0,0.0
30,33.14285714285714,31.22506978239207,average,120.0,120.0,0.0
31,33.14285714285714,31.225069768797827,average,120.0,120.0,0.0
32,33.14285714285714,31.22506975520358,average,120.0,120.0,0.0
33,33.14285714285714,31.22506974160934,average,120.0,120.0,0.0
34,33.14285714285714,31.225069728015097,average,120.0,120.0,0.0
35,33.14285714285714,31.22506971442084,average,120.0,120.0,0.0
36,33.14285714285714,31.225069700826594,average,120.0,120.0,0.0
37,33.14285714285714,31.225069687232338,average,120.0,120.0,0.0
38,33.14285714285714,31.22506967363808,average,120.0,120.0,0.0
39,33.14285714285714,31.22506966004383,average,120.0,120.0,0.0
40,33.14285714285714,31.22506964644957,average,120.0,120.0,0.0
41,33.14285714285714,31.2250696328553,average,120.0,120.0,0.0
42,33.14285714285714,31.225069619261035,average,120.0,120.0,0.0
43,33.14285714285714,31.225069605666768,average,120.0,120.0,0.0
44,33.14285714285714,31.225069592072497,average,120.0,120.0,0.0
45,33.14285714285714,31.225069578478223,average,120.0,120.0,0.0
46,33.14285714285714,31.225069564883945,average,120.0,120.0,0.0
47,33.14285714285714,31.225069551289668,average,120.0,120.0,0.0
48,33.14285714285714,31.22506953769539,average,120.0,120.0,0.0
49,33.14285714285714,31.225069524101112,average,120.0,120.0,0.0
50,33.14285714285714,31.22506951050682,average,120.0,120.0,0.0
51,33.14285714285714,31.22506949691254,average,120.0,120.0,0.0
52,33.14285714285714,31.22506948331825,average,120.0,120.0,0.0
53,33.14285714285714,31.225069469723962,average,120.0,120.0,0.0
54,33.14285714285714,31.225069456129667,average,120.0,120.0,0.0
55,33.14285714285714,31.225069442535364,average,120.0,120.0,0.0
56,33.14285714285714,31.22506942894107,average,120.0,120.0,0.0
57,33.14285714285714,31.225069415346766,average,120.0,120.0,0.0
58,33.14285714285714,31.225069401752464,average,120.0,120.0,0.0
59,33.14285714285714,31.22506938815816,average,120.0,120.0,0.0
60,23.428571428571423,23.796262553001455,average,90.0,90.0,0.0
61,23.428571428571423,23.79626254479517,average,90.0,90.0,0.0
62,23.428571428571423,23.79626253658888,average,90.0,90.0,0.0
63,23.428571428571423,23.7962625283826,average,90.0,90.0,0.0
64,23.428571428571423,23.79626252017631,average,90.0,90.0,0.0
65,23.428571428571423,23.79626251197002,average,90.0,90.0,0.0
66,23.428571428571423,23.796262503763735,average,90.0,90.0,0.0
67,23.428571428571423,23.796262495557443,average,90.0,90.0,0.0
68,23.428571428571423,23.79626248735115,average,90.0,90.0,0.0
69,23.428571428571423,23.796262479144854,average,90.0,90.0,0.0
70,23.428571428571423,23.796262470938558,average,90.0,90.0,0.0
71,23.428571428571423,23.796262462732265,average,90.0,90.0,0.0
72,23.428571428571423,23.796262454525966,average,90.0,90.0,0.0
73,23.428571428571423,23.796262446319666,average,90.0,90.0,0.0
74,23.428571428571423,23.796262438113366,average,90.0,90.0,0.0
75,23.428571428571423,23.796262429907063,average,90.0,90.0,0.0
76,23.428571428571423,23.79626242170076,average,90.0,90.0,0.0
77,23.428571428571423,23.796262413494457,average,90.0,90.0,0.0
78,23.428571428571423,23.796262405288154,average,90.0,90.0,0.0
79,23.428571428571423,23.79626239708184,average,90.0,90.0,0.0
80,23.428571428571423,23.796262388875533,average,90.0,90.0,0.0
81,23.428571428571423,23.79626238066922,average,90.0,90.0,0.0
82,23.428571428571423,23.796262372462913,average,90.0,90.0,0.0
83,23.428571428571423,23.7962623642566,average,90.0,90.0,0.0
84,23.428571428571423,23.796262356050285,average,90.0,90.0,0.0
85,23.428571428571423,23.79626234784397,average,90.0,90.0,0.0
86,23.428571428571423,23.796262339637654,average,90.0,90.0,0.0
87,23.428571428571423,23.79626233143133,average,90.0,90.0,0.0
88,23.428571428571423,23.796262323225015,average,90.0,90.0,0.0
89,23.428571428571423,23.796262315018694,average,90.0,90.0,0.0
90,23.428571428571423,23.796262306812366,average,90.0,90.0,0.0
91,23.428571428571423,23.796262298606045,average,90.0,90.0,0.0
92,23.428571428571423,23.796262290399717,average,90.0,90.0,0.0
93,23.428571428571423,23.796262282193396,average,90.0,90.0,0.0
94,23.428571428571423,23.79626227398706,average,90.0,90.0,0.0
95,23.428571428571423,23.796262265780733,average,90.0,90.0,0.0
96,23.428571428571423,23.796262257574405,average,90.0,90.0,0.0
97,23.428571428571423,23.79626224936807,average,90.0,90.0,0.0
98,23.428571428571423,23.796262241161735,average,90.0,90.0,0.0
99,23.428571428571423,23.7962622329554,average,90.0,90.0,0.0
100,23.428571428571423,23.796262224749064,average,90.0,90.0,0.0
101,23.428571428571423,23.79626221654273,average,90.0,90.0,0.0
102,23.428571428571423,23.796262208336387,average,90.0,90.0,0.0
103,23.428571428571423,23.796262200130045,average,90.0,90.0,0.0
104,23.428571428571423,23.796262191923702,average,90.0,90.0,0.0
105,23.428571428571423,23.79626218371736,average,90.0,90.0,0.0
106,23.428571428571423,23.796262175511018,average,90.0,90.0,0.0
107,23.428571428571423,23.796262167304675,average,90.0,90.0,0.0
108,23.428571428571423,23.79626215909832,average,90.0,90.0,0.0
109,23.428571428571423,23.796262150891977,average,90.0,90.0,0.0
110,23.428571428571423,23.796262142685627,average,90.0,90.0,0.0
111,23.428571428571423,23.79626213447927,average,90.0,90.0,0.0
112,23.428571428571423,23.796262126272918,average,90.0,90.0,0.0
113,23.428571428571423,23.796262118066565,average,90.0,90.0,0.0
114,23.428571428571423,23.79626210986021,average,90.0,90.0,0.0
115,23.428571428571423,23.79626210165385,average,90.0,90.0,0.0
116,23.428571428571423,23.796262093447496,average,90.0,90.0,0.0
117,23.428571428571423,23.79626208524114,average,90.0,90.0,0.0
118,23.428571428571423,23.796262077034775,average,90.0,90.0,0.0
119,23.428571428571423,23.79626206882841,average,90.0,90.0,0.0
120,23.428571428571423,23.79626206062205,average,90.0,90.0,0.0
121,23.428571428571423,23.79626205241568,average,90.0,90.0,0.0
122,23.428571428571423,23.796262044209314,average,90.0,90.0,0.0
123,23.428571428571423,23.796262036002943,average,90.0,90.0,0.0
124,23.428571428571423,23.796262027796573,average,90.0,90.0,0.0
125,23.428571428571423,23.796262019590202,average,90.0,90.0,0.0
126,23.428571428571423,23.79626201138383,average,90.0,90.0,0.0
127,23.428571428571423,23.79626200317746,average,90.0,90.0,0.0
128,23.428571428571423,23.796261994971083,average,90.0,90.0,0.0
129,23.428571428571423,23.796261986764705,average,90.0,90.0,0.0
130,23.428571428571423,23.79626197855833,average,90.0,90.0,0.0
131,23.428571428571423,23.79626197035195,average,90.0,90.0,0.0
132,23.428571428571423,23.79626196214557,average,90.0,90.0,0.0
133,23.428571428571423,23.796261953939187,average,90.0,90.0,0.0
134,23.428571428571423,23.7962619457328,average,90.0,90.0,0.0
135,23.428571428571423,23.796261937526417,average,90.0,90.0,0.0
136,23.428571428571423,23.796261929320032,average,90.0,90.0,0.0
137,23.428571428571423,23.796261921113647,average,90.0,90.0,0.0
138,23.428571428571423,23.796261912907262,average,90.0,90.0,0.0
139,23.428571428571423,23.796261904700867,average,90.0,90.0,0.0
140,23.428571428571423,23.796261896494475,average,90.0,90.0,0.0
141,23.428571428571423,23.796261888288083,average,90.0,90.0,0.0
142,23.428571428571423,23.796261880081687,average,90.0,90.0,0.0
143,23.428571428571423,23.796261871875295,average,90.0,90.0,0.0
