load_source,continuous_multiplier,start_stop_multiplier,load_shift_multiplier,n_pairs,mean_beam_minus_average_pct,ci95_pct,mean_relative_pct,beam_lower_share
real_block_bootstrap,0.5,0.25,0.25,10,-8.411383333333333e-05,0.00010620627786857038,-7.524329456690784,0.8
synthetic_event_markov,0.5,0.25,0.25,10,-1.3926958333333283e-05,1.5506460160504336e-05,-1.1789682956426084,0.8
real_block_bootstrap,0.5,0.25,0.5,10,-0.00011228133333333334,0.00010710818155586125,-9.27344299334182,0.8
synthetic_event_markov,0.5,0.25,0.5,10,-2.519395833333335e-05,2.9219213434134613e-05,-1.9316990608276896,0.8
real_block_bootstrap,0.5,0.25,1.0,10,-0.00016861633333333336,0.00011505261812282553,-11.893124311726622,0.8
synthetic_event_markov,0.5,0.25,1.0,10,-4.7727958333333404e-05,5.668431860901497e-05,-3.0599196198748966,0.8
real_block_bootstrap,0.5,0.25,2.0,10,-0.0002812863333333332,0.000149290476726207,-15.185578647720538,0.8
synthetic_event_markov,0.5,0.25,2.0,10,-9.279595833333331e-05,0.00011163651828554825,-4.408127282496532,0.8
real_block_bootstrap,0.5,0.25,4.0,10,-0.0005066263333333334,0.0002499427062763779,-18.530667432534145,0.8
synthetic_event_markov,0.5,0.25,4.0,10,-0.0001829319583333333,0.00022155251591384918,-5.51992117446228,0.8
real_block_bootstrap,0.5,0.5,0.25,10,-0.00013801383333333328,0.00021117208419118064,-6.469310392405347,0.8
synthetic_event_markov,0.5,0.5,0.25,10,-1.3926958333333305e-05,1.55064601605043e-05,-0.6302985488214685,0.8
real_block_bootstrap,0.5,0.5,0.5,10,-0.00016618133333333337,0.0002103338161166118,-7.517675334266848,0.8
synthetic_event_markov,0.5,0.5,0.5,10,-2.519395833333331e-05,2.9219213434134633e-05,-1.08113514174106,0.8
real_block_bootstrap,0.5,0.5,1.0,10,-0.0002225163333333333,0.00021192878169077107,-9.289430563479797,0.8
synthetic_event_markov,0.5,0.5,1.0,10,-4.772795833333345e-05,5.668431860901495e-05,-1.8519881450248998,0.8
real_block_bootstrap,0.5,0.5,2.0,10,-0.0003351863333333333,0.00022755538636834075,-11.933575683085646,0.8
synthetic_event_markov,0.5,0.5,2.0,10,-9.279595833333338e-05,0.00011163651828554819,-3.003600372602386,0.8
real_block_bootstrap,0.5,0.5,4.0,10,-0.0005605263333333332,0.0002959719100675672,-15.24151831497323,0.8
synthetic_event_markov,0.5,0.5,4.0,10,-0.0001829319583333335,0.00022155251591384913,-4.37305784606326,0.8
real_block_bootstrap,0.5,1.0,0.25,10,-0.00024581383333333344,0.00042212004089304904,-5.878504159402029,0.8
synthetic_event_markov,0.5,1.0,0.25,10,-1.3926958333332958e-05,1.5506460160504536e-05,-0.32637075006426564,0.8
real_block_bootstrap,0.5,1.0,0.5,10,-0.00027398133333333323,0.00042040521632125756,-6.457691574412074,0.8
synthetic_event_markov,0.5,1.0,0.5,10,-2.5193958333333094e-05,2.9219213434134467e-05,-0.5743109904630953,0.8
real_block_bootstrap,0.5,1.0,1.0,10,-0.0003303163333333334,0.0004186061921053845,-7.514176536897871,0.8
synthetic_event_markov,0.5,1.0,1.0,10,-4.772795833333284e-05,5.6684318609014905e-05,-1.0310678761833565,0.8
real_block_bootstrap,0.5,1.0,2.0,10,-0.0004429863333333335,0.00042158391469487795,-9.297496176209387,0.8
synthetic_event_markov,0.5,1.0,2.0,10,-9.279595833333346e-05,0.00011163651828554813,-1.8112664028125895,0.8
real_block_bootstrap,0.5,1.0,4.0,10,-0.0006683263333333337,0.0004525696965348134,-11.954064607121722,0.8
synthetic_event_markov,0.5,1.0,4.0,10,-0.00018293195833333307,0.00022155251591384902,-2.9748994081041156,0.8
real_block_bootstrap,0.5,2.0,0.25,10,-0.0004614138333333336,0.0008445261405968164,-5.564901639589826,0.8
synthetic_event_markov,0.5,2.0,0.25,10,-1.3926958333333391e-05,1.550646016050441e-05,-0.1661326108409389,0.8
real_block_bootstrap,0.5,2.0,0.5,10,-0.0004895813333333329,0.0008423756424481995,-5.870134348907632,0.8
synthetic_event_markov,0.5,2.0,0.5,10,-2.5193958333333094e-05,2.9219213434134244e-05,-0.2963281786670897,0.8
real_block_bootstrap,0.5,2.0,1.0,10,-0.0005459163333333336,0.0008388811172347613,-6.451786400059854,0.8
synthetic_event_markov,0.5,2.0,1.0,10,-4.772795833333302e-05,5.668431860901493e-05,-0.5459717654699902,0.8
real_block_bootstrap,0.5,2.0,2.0,10,-0.0006585863333333329,0.0008351597435951312,-7.512382540485204,0.8
synthetic_event_markov,0.5,2.0,2.0,10,-9.279595833333303e-05,0.0001116365182855481,-1.0057386407647588,0.8
real_block_bootstrap,0.5,2.0,4.0,10,-0.0008839263333333331,0.0008409012791230317,-9.301546919265922,0.8
synthetic_event_markov,0.5,2.0,4.0,10,-0.00018293195833333288,0.0002215525159138489,-1.790683453353314,0.8
