scenario,terminal_cv_assumption,probability_beam_total_damage_lower,mean_beam_minus_average_pct,p95_beam_minus_average_pct
real_block_bootstrap_seed_2026,0.05,1.0,-9.231612273944137,-8.995672256200395
real_block_bootstrap_seed_2027,0.05,1.0,-1.8846425935272386,-1.853235497006925
synthetic_event_markov_seed_2026,0.05,0.0,0.6012798173973649,0.6695996835654853
synthetic_event_markov_seed_2027,0.05,1.0,-4.564511690077737,-4.532833364342784
real_block_bootstrap_seed_2026,0.1,1.0,-9.235177362679227,-8.767701892184153
real_block_bootstrap_seed_2027,0.1,1.0,-1.8849040442115732,-1.8224445004124106
synthetic_event_markov_seed_2026,0.1,0.0,0.6009632428934102,0.7386966407987245
synthetic_event_markov_seed_2027,0.1,1.0,-4.564744602559262,-4.500220303022305
real_block_bootstrap_seed_2026,0.2,1.0,-9.239816795348393,-8.288132054370267
real_block_bootstrap_seed_2027,0.2,1.0,-1.8864399761332156,-1.7613658139591863
synthetic_event_markov_seed_2026,0.2,0.0,0.6033305918581309,0.888708913506315
synthetic_event_markov_seed_2027,0.2,1.0,-4.565453579318012,-4.431336703780649
