event_id,canonical_row_6104,original_index,raw_event_start_index_1based,source_segment_row_1based,source_file,event_class_code,current_A,previous_current_A,next_current_A,voltage_V,voltage_as_input_allowed,temperature_C,h2_pressure,air_pressure,I_step_A,abs_I_step_A,qt_num_cum,bz_num_cum,time_0A_cum,time_25A_cum,time_90A_cum,time_120A_cum,time_160A_cum,time_195A_cum,time_270A_cum,time_370A_cum,i0,ih,R_ohm,deleted_3700_3900_flag,deletion_boundary_after_flag,valid_for_theta_alignment,model_input_01_h2_pressure,model_input_02_h2_pressure,model_input_03_o2_pressure,model_input_04_o2_pressure,model_input_05_stack_temperature,model_input_06_stack_temperature,model_input_07_o2_temperature,model_input_08_o2_temperature,model_input_09_h2_temperature,model_input_10_h2_temperature
LZW-E000001,1,1,6057,2,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,,160.02666666666667,166.0,False,37.099999999999994,131.15,113.45,159.9,159.9,1.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.907e-07,0.002,0.0406,False,False,True,133.0,129.3,118.5,108.4,37.3,36.9,41.1,42.5,43.6,40.0
LZW-E000002,2,2,6121,2,论文代码/电堆数据/工况数据提取/data_mark.mat,3,160.02666666666667,0.0,369.9483333333334,126.98333333333332,False,58.28583333333333,130.48833333333334,115.81166666666668,209.1,209.1,1.0,1.0,30.0,0.0,0.0,0.0,502.0,0.0,0.0,0.0,1.907e-07,0.002,0.0406,False,False,True,131.95999999999998,129.01666666666668,122.39,109.23333333333336,57.105,59.46666666666667,51.93166666666666,57.673333333333325,51.83000000000001,55.236666666666665
LZW-E000003,3,3,6863,2,论文代码/电堆数据/工况数据提取/data_mark.mat,3,369.9483333333334,160.02666666666667,269.9366666666667,117.0,False,73.66083333333333,157.4541666666667,139.80583333333334,-99.0,99.0,1.0,2.0,30.0,0.0,0.0,0.0,502.0,0.0,0.0,985.0,1.907e-07,0.002,0.0406,False,False,True,158.99000000000004,155.91833333333335,149.65833333333333,129.95333333333332,71.05,76.27166666666668,71.17833333333331,75.235,63.301666666666655,70.365
LZW-E000004,4,4,7865,2,论文代码/电堆数据/工况数据提取/data_mark.mat,3,269.9366666666667,369.9483333333334,24.945,120.03333333333332,False,72.36166666666666,140.53833333333333,124.12916666666666,-245.0,245.0,1.0,3.0,30.0,0.0,0.0,0.0,502.0,0.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,141.43,139.64666666666665,131.98833333333334,116.27,70.43166666666666,74.29166666666667,70.08333333333333,73.43666666666667,64.08833333333332,69.61333333333332
LZW-E000005,5,5,10613,2,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.945,269.9366666666667,0.0,141.0,False,45.130833333333335,123.72,110.24833333333333,-25.0,25.0,1.0,4.0,30.0,163.0,0.0,0.0,502.0,0.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.96333333333334,123.47666666666667,114.52666666666669,105.97,44.75833333333333,45.50333333333334,53.46666666666667,54.25833333333333,54.080000000000005,48.598333333333336
LZW-E000006,6,6,10779,2,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,24.945,0.0,162.0,False,45.400000000000006,125.1,110.05000000000001,0.0,0.0,2.0,4.0,59.0,163.0,0.0,0.0,502.0,0.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,125.5,124.7,113.9,106.2,45.1,45.7,51.3,51.9,52.7,47.4
LZW-E000007,7,7,12026,3,论文代码/电堆数据/工况数据提取/data_mark.mat,1,0.0,0.0,160.08500000000004,166.0,False,31.75,123.0,113.15,160.0,160.0,3.0,4.0,89.0,163.0,0.0,0.0,502.0,0.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,124.9,121.1,118.1,108.2,31.2,32.3,38.8,39.2,40.9,37.8
LZW-E000008,8,8,12090,3,论文代码/电堆数据/工况数据提取/data_mark.mat,3,160.08500000000004,0.0,194.93833333333336,127.01666666666668,False,58.33999999999999,130.90249999999997,115.79333333333335,34.900000000000006,34.900000000000006,3.0,5.0,89.0,163.0,0.0,0.0,1137.0,0.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,131.95,129.855,122.65666666666668,108.93,57.13999999999999,59.53999999999999,51.82166666666667,57.8,51.87166666666667,55.32333333333334
LZW-E000009,9,9,12747,3,论文代码/电堆数据/工况数据提取/data_mark.mat,3,194.93833333333336,160.08500000000004,24.93833333333333,123.65,False,68.73166666666665,131.7175,116.58333333333334,-170.0,170.0,3.0,6.0,89.0,163.0,0.0,0.0,1137.0,2841.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,132.47666666666666,130.95833333333334,123.12333333333336,110.04333333333334,67.09833333333333,70.365,66.56166666666667,69.64833333333333,63.148333333333326,66.57833333333333
LZW-E000010,10,10,15603,3,论文代码/电堆数据/工况数据提取/data_mark.mat,2,24.93833333333333,194.93833333333336,0.0,140.95,False,45.20083333333333,123.45666666666665,109.60249999999999,-24.9,24.9,3.0,7.0,89.0,328.0,0.0,0.0,1137.0,2841.0,2726.0,985.0,1.907e-07,0.002,0.0406,False,False,True,123.62999999999998,123.28333333333332,114.12166666666668,105.08333333333331,44.876666666666665,45.52499999999999,52.56499999999999,53.88166666666666,52.74666666666667,48.44333333333334
