event_id,canonical_row_6104,original_index,i0_A_per_cm2,ih_A_per_cm2,R_ohm_reported_ohm_cm2,R_model_state_for_iv_model,unit_note
LZW-E000001,1,1,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000002,2,2,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000003,3,3,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000004,4,4,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000005,5,5,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000006,6,6,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000007,7,7,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000008,8,8,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000009,9,9,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000010,10,10,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000011,11,11,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000012,12,12,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000013,13,13,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000014,14,14,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000015,15,15,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000016,16,16,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000017,17,17,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000018,18,18,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000019,19,19,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000020,20,20,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000021,21,21,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000022,22,22,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000023,23,23,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000024,24,24,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000025,25,25,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000026,26,26,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000027,27,27,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000028,28,28,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000029,29,29,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000030,30,30,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000031,31,31,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000032,32,32,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000033,33,33,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000034,34,34,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000035,35,35,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000036,36,36,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000037,37,37,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000038,38,38,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000039,39,39,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000040,40,40,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000041,41,41,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000042,42,42,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000043,43,43,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000044,44,44,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000045,45,45,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000046,46,46,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000047,47,47,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
LZW-E000048,48,48,1.907e-07,0.002,0.0406,9.999999999999999e-05,i0/ih are physical; R_model_state_for_iv_model = R_reported/406 audited inference
