engine,file,sheet,column_index,field
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,1,时间
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,2,工作状态
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,3,电池故障等级
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,4,电池故障代码
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,5,DCDC输出电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,6,DCDC输出电流
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,7,DCDC输出功率
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,8,燃料电池电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,9,燃料电池电流
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,10,采样点
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,11,氢燃料电池输出功率
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,12,A堆电压平均值
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,13,A堆最低电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,14,A堆最低电压位置
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,15,B堆电压平均值
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,16,B堆最低电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,17,B堆最低电压位置
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,18,比例阀占空比
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,19,A堆氢气进堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,20,B堆氢气出堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,21,空气流量
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,22,B堆空气进堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,23,水进堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,24,水出A堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,25,B堆水出堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,26,水电导率
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,27,A堆氢气进堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,28,Purge标志位
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,29,氢气出B堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,30,B堆空气进堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,31,电堆氢泄露
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,32,环境温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,系统总览,33,密封腔体温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,1,时间
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,2,工作状态
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,3,电池故障等级
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,4,电池故障代码
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,5,DCDC输出电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,6,DCDC输出电流
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,7,DCDC输出功率
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,8,燃料电池电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,9,燃料电池电流
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,10,采样点
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,11,氢燃料电池输出功率
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,12,A堆电压平均值
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,13,A堆最低电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,14,A堆最低电压位置
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,15,B堆电压平均值
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,16,B堆最低电压
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,17,B堆最低电压位置
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,18,比例阀占空比
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,19,A堆氢气进堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,20,B堆氢气出堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,21,空气流量
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,22,B堆空气进堆压力
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,23,水进堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,24,水出A堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,25,B堆水出堆温度
三号发动机,三号发动机_20200624000000_20200624235959.xlsx,加载过程,26,水电导率
