engine,date,file,status,operating_count,overall_voltage_median_V,overall_current_median_A,current_point_A,point_count,voltage_median_V,voltage_p10_V,voltage_p90_V,stack_A_avg_median,stack_B_avg_median
三号发动机,2020-06-24,三号发动机_20200624000000_20200624235959.xlsx,ok,43579,214.995,65.0,40,11831,220.995,219.0,223.995,1.57548,1.5791
三号发动机,2020-06-24,三号发动机_20200624000000_20200624235959.xlsx,ok,43579,214.995,65.0,65,18663,214.995,211.995,216.99,1.53604,1.53765
三号发动机,2020-06-24,三号发动机_20200624000000_20200624235959.xlsx,ok,43579,214.995,65.0,90,10027,208.995,207.0,211.995,1.49544,1.49798
三号发动机,2020-06-24,三号发动机_20200624000000_20200624235959.xlsx,ok,43579,214.995,65.0,120,1577,204.99,202.995,207.0,1.46686,1.46747
三号发动机,2020-06-24,三号发动机_20200624000000_20200624235959.xlsx,ok,43579,214.995,65.0,150,814,201.99,198.99,201.99,1.449115,1.450915
三号发动机,2020-07-06,三号发动机_20200706000000_20200706235959.xlsx,ok,42674,213.0,65.0,40,10776,219.0,216.99,222.0,1.567345,1.568665
三号发动机,2020-07-06,三号发动机_20200706000000_20200706235959.xlsx,ok,42674,213.0,65.0,65,15353,213.0,210.0,213.99,1.52358,1.52418
三号发动机,2020-07-06,三号发动机_20200706000000_20200706235959.xlsx,ok,42674,213.0,65.0,90,13118,207.0,204.0,208.995,1.479355,1.48011
三号发动机,2020-07-06,三号发动机_20200706000000_20200706235959.xlsx,ok,42674,213.0,65.0,120,1751,202.995,198.99,202.995,1.45518,1.45546
三号发动机,2020-07-06,三号发动机_20200706000000_20200706235959.xlsx,ok,42674,213.0,65.0,150,1053,198.0,193.995,198.0,1.42221,1.42283
三号发动机,2020-07-18,三号发动机_20200718000000_20200718235959.xlsx,ok,14158,213.0,65.0,40,1308,219.99,219.99,222.0,1.5728550000000001,1.576025
三号发动机,2020-07-18,三号发动机_20200718000000_20200718235959.xlsx,ok,14158,213.0,65.0,65,7701,213.99,211.995,213.99,1.52525,1.52929
三号发动机,2020-07-18,三号发动机_20200718000000_20200718235959.xlsx,ok,14158,213.0,65.0,90,3781,207.99,207.0,208.995,1.48993,1.49452
三号发动机,2020-07-18,三号发动机_20200718000000_20200718235959.xlsx,ok,14158,213.0,65.0,120,843,201.99,198.99,204.0,1.4489,1.45362
三号发动机,2020-07-18,三号发动机_20200718000000_20200718235959.xlsx,ok,14158,213.0,65.0,150,201,196.995,195.99,198.0,1.41176,1.41853
三号发动机,2020-08-02,三号发动机_20200802000000_20200802235959.xlsx,ok,5299,198.0,150.1,40,1,208.995,208.995,208.995,1.49245,1.49634
三号发动机,2020-08-02,三号发动机_20200802000000_20200802235959.xlsx,ok,5299,198.0,150.1,65,279,214.995,214.995,216.0,1.53672,1.53851
三号发动机,2020-08-02,三号发动机_20200802000000_20200802235959.xlsx,ok,5299,198.0,150.1,90,1169,208.995,207.99,210.0,1.49225,1.49351
三号发动机,2020-08-02,三号发动机_20200802000000_20200802235959.xlsx,ok,5299,198.0,150.1,120,696,202.995,202.995,204.0,1.44936,1.45414
三号发动机,2020-08-02,三号发动机_20200802000000_20200802235959.xlsx,ok,5299,198.0,150.1,150,382,198.0,198.0,198.99,1.41548,1.421475
三号发动机,2020-08-14,三号发动机_20200814000000_20200814235959.xlsx,ok,44269,201.99,119.8,40,5315,222.0,219.99,222.99,1.57884,1.58359
三号发动机,2020-08-14,三号发动机_20200814000000_20200814235959.xlsx,ok,44269,201.99,119.8,65,6103,213.99,211.995,214.995,1.52226,1.52805
三号发动机,2020-08-14,三号发动机_20200814000000_20200814235959.xlsx,ok,44269,201.99,119.8,90,9593,207.0,204.99,207.99,1.47543,1.48229
三号发动机,2020-08-14,三号发动机_20200814000000_20200814235959.xlsx,ok,44269,201.99,119.8,120,14284,201.0,199.995,201.99,1.42791,1.436245
三号发动机,2020-08-14,三号发动机_20200814000000_20200814235959.xlsx,ok,44269,201.99,119.8,150,8127,195.99,195.0,196.995,1.393,1.40401
三号发动机,2020-08-26,三号发动机_20200826000000_20200826235959.xlsx,ok,26985,204.99,89.9,40,4510,217.995,216.0,219.99,1.5566849999999999,1.562745
三号发动机,2020-08-26,三号发动机_20200826000000_20200826235959.xlsx,ok,26985,204.99,89.9,65,5417,210.99,210.0,211.995,1.50586,1.51268
三号发动机,2020-08-26,三号发动机_20200826000000_20200826235959.xlsx,ok,26985,204.99,89.9,90,10807,204.99,204.0,204.99,1.45762,1.46627
三号发动机,2020-08-26,三号发动机_20200826000000_20200826235959.xlsx,ok,26985,204.99,89.9,120,4173,196.995,195.99,198.0,1.40212,1.41248
三号发动机,2020-08-26,三号发动机_20200826000000_20200826235959.xlsx,ok,26985,204.99,89.9,150,1564,192.0,189.0,192.0,1.36339,1.37902
三号发动机,2020-09-13,三号发动机_20200913000000_20200913235959.xlsx,ok,44013,202.995,65.0,40,9699,213.99,210.0,216.99,1.5265,1.5335
三号发动机,2020-09-13,三号发动机_20200913000000_20200913235959.xlsx,ok,44013,202.995,65.0,65,14327,205.995,202.995,208.995,1.46874,1.47654
